countrycode,countryshort,countryname,party_id,party_short,party_name,party_name_english,file
14,FIN,Finland,1409,SKL; KO,Suomen Kristillinen Liitto; Kristillisdemokraatit,Finnish Christian League; Christian Democrats,1999-2019_CHES_codebook
14,FIN,Finland,1411,EKA,Elakelaiset Kansan Asialla,Pensioners for the People,1999-2019_CHES_codebook
14,FIN,Finland,1412,REM,Remonttiryhma,Reform Group,1999-2019_CHES_codebook
14,FIN,Finland,1413,KIPU,Kirjava puolue - Elonkehan puolesta,Ecological Party,1999-2019_CHES_codebook
16,SWE,Sweden,1601,V,Vansterpartiet,Left Party,1999-2019_CHES_codebook
16,SWE,Sweden,1602,SAP,Arbetarpartiet-Socialdemokraterna,Workers Party-Social  Democrats,1999-2019_CHES_codebook
16,SWE,Sweden,1603,C,Sveriges Socialdemokratiska Arbetareparti Centerpartiet,Swedish Social Democratic Party Center Party,1999-2019_CHES_codebook
16,SWE,Sweden,1604,FP;L,Folkpartiet liberalerna; Liberalerna,Liberal Peoples Party,1999-2019_CHES_codebook
16,SWE,Sweden,1605,M,Moderaterna; Moderata Samlingspartiet,Moderate Party,1999-2019_CHES_codebook
16,SWE,Sweden,1606,KD,Kristdemokraterna,Christian-Democrats,1999-2019_CHES_codebook
16,SWE,Sweden,1607,MP,Miljoepartiet de Grona,Environment Party-The Greens,1999-2019_CHES_codebook
16,SWE,Sweden,1608,NyD,Ny  Demokrati,New  Democracy,1999-2019_CHES_codebook
16,SWE,Sweden,1609,jL,junilistan,june List,1999-2019_CHES_codebook
16,SWE,Sweden,1610,SD,Sverigedemokraterna,Sweden Democrats,1999-2019_CHES_codebook
16,SWE,Sweden,1611,PIRAT,Piratpartiet,Pirate Party,1999-2019_CHES_codebook
16,SWE,Sweden,1612,FI,Feministiskt initiativ,Feminist Initative,1999-2019_CHES_codebook
20,BGR,Bulgaria,2001,NDSV,Nacionalno Dvizenie Simeon Vtori,National Movement Simeon II,1999-2019_CHES_codebook
20,BGR,Bulgaria,2002,ODS; SDS,Obedineni Demokraticni Sili; Sayuz na demokratichnite sili,United Democratic Forces; Union of Democratic Forces,1999-2019_CHES_codebook
20,BGR,Bulgaria,2003,KzB; BSP,Koalicija za Balgarija; BSP-Lyava Bulgaria; Balgarska sotsialisticheska partiya,Coalition for Bulgaria; BSP-Left Bulgaria; Bulgarian Socialist Party,1999-2019_CHES_codebook
20,BGR,Bulgaria,2004,DPS,Dvizenie za Prava i Svobodi,Movement for Rights and Freedoms,1999-2019_CHES_codebook
20,BGR,Bulgaria,2005,G-VMRO;VMRO-BND,Dvizenie Gergiovden;VMRO-Bulgarsko Natsionalno Dvizhenie,Gergiovden-VMRO; VMRO-Bulgarian National Movement,1999-2019_CHES_codebook
20,BGR,Bulgaria,2006,KSII,Koalicija Simeon II,Coalition Simeon II,1999-2019_CHES_codebook
20,BGR,Bulgaria,2007,NOA; Ataka,Nacionalno Obedinenie Ataka; Ataka,National  Union Attack; Attack,1999-2019_CHES_codebook
20,BGR,Bulgaria,2008,DSB,Demokrati za Silna Balgarija,Democrats for a Strong Bulgaria,1999-2019_CHES_codebook
20,BGR,Bulgaria,2009,BNS,Balgarski Naroden Sajuz,Bulgarian Peoples Union,1999-2019_CHES_codebook
20,BGR,Bulgaria,2010,GERE,Grazhdani za evropeysko razvitie na Balgariya,Citizens for European Development  of Bulgaria,1999-2019_CHES_codebook
20,BGR,Bulgaria,2011,L,Lider,Lider,1999-2019_CHES_codebook
20,BGR,Bulgaria,2012,RZS,"Red, zakonnost  i spravedlivost","Order, Lawfullness, justice",1999-2019_CHES_codebook
20,BGR,Bulgaria,2013,DBG,Dvizhenie Bulgaria na grazhdanite,Bulgaria for Citizens Movement,1999-2019_CHES_codebook
20,BGR,Bulgaria,2014,NFSB,Natsionalen Front za Spasenie na Bulgaria,National Front for the Salvation of Bulgaria,1999-2019_CHES_codebook
20,BGR,Bulgaria,2015,BBT,Bulgaria bez Tsenzura,Bulgaria without Censorship,1999-2019_CHES_codebook
20,BGR,Bulgaria,2016,ABV,Alternativa za Balgarsko Vazrazhdane,Alternative for Bulgarian Revival,1999-2019_CHES_codebook
20,BGR,Bulgaria,2017,Volya,Volya,Will,1999-2019_CHES_codebook
20,BGR,Bulgaria,2018,DB,Da Bulgaria,"Yes, Bulgaria!",1999-2019_CHES_codebook
20,BGR,Bulgaria,2019,Slavi Trifonov,Slavi Trifonov,Party of Slavi Trifonov,1999-2019_CHES_codebook
21,CZE,Czech Republic,2101,CSSD,Ceska strana socialne demokraticka,Czech Social Democratic Party,1999-2019_CHES_codebook
21,CZE,Czech Republic,2102,ODS,Obcanska Demokraticka Strana,Civic Democratic Party,1999-2019_CHES_codebook
21,CZE,Czech Republic,2103,KSCM,Komunisticka strana Cech a Moravy,Communist Party of Bohemia and Moravia,1999-2019_CHES_codebook
21,CZE,Czech Republic,2104,KDU-CSL,Kresfanska demokraticka unie Ceskoslovenska strana lidova,Christian Democratic Union Czechoslovak Peoples Party,1999-2019_CHES_codebook
