huber_id,country,name_english,name,name_short,country_short,dummy_nir
3309,RUSSIA,Russian Christian Democratic Movement,Rossiiskoye Khristiansko Demokraticheskoye Dvizhenie,RKDD,RUS,0
3310,RUSSIA,Constitution Democratic Party,Konstitutsionno-Demokraticheskaia Partiia,KDP,RUS,0
3311,RUSSIA,Russian National Council,Rossiiskii Natsional'nyi Sovet,RNS,RUS,0
3312,RUSSIA,Liberal Democratic Party,Liberal'no-Demokraticheskaia Partiia,LDP,RUS,0
3401,SLOVAKIA,Slovak National Party,Slovenka Narodna Strana,SNS,SVK,0
3402,SLOVAKIA,Party of the Democratic Left,Party of the Democratic Left,SDL,SVK,0
3403,SLOVAKIA,Movement for a Democratic Slovakia,Movement for a Democratic Slovakia,HZDS,SVK,0
3404,SLOVAKIA,Social Democratic Party,Socialno-Demokraticka Strana na Slovensku,SDSS,SVK,0
3405,SLOVAKIA,Christian Democratic Movement,Christian Democratic Movement,KDH,SVK,0
3406,SLOVAKIA,Christian Social Union,Christian Social Union,KSU,SVK,0
3407,SLOVAKIA,Hungarian Christian Democratic Movement,Hungarian Christian Democratic Movement,MKDH,SVK,0
3501,SOUTH AFRICA,Azanian People's Organization,Azanian People's Organization,Azapo,ZAF,0
3502,SOUTH AFRICA,South African Communist Party,South African Communist Party,SACP,ZAF,0
3503,SOUTH AFRICA,Pan Africanist Congress,Pan Africanist Congress,PAC,ZAF,0
3504,SOUTH AFRICA,African National Congress,African National Congress,ANC,ZAF,0
3505,SOUTH AFRICA,Liberal Party,Liberal Party,LP,ZAF,0
3506,SOUTH AFRICA,Democratic Party,Democratic Party,DP,ZAF,0
3507,SOUTH AFRICA,National Party,National Party,NP,ZAF,0
3508,SOUTH AFRICA,Inkatha Freedom Party,Inkatha Freedom Party,IFP,ZAF,0
3509,SOUTH AFRICA,Conservative Party,Conservative Party,CP,ZAF,0
3510,SOUTH AFRICA,African Resistance Movement,Afrikaner Weerstandsbewegung,AWB,ZAF,0
3601,SPAIN,Basque United People,Herri Batasuna,HB,ESP,0
3602,SPAIN,United Left,Izquierda Unida,IU,ESP,0
3603,SPAIN,Socialist,Partido Socialista Obrero Espanol,PSOE,ESP,0
3604,SPAIN,Basque Solidarity,Eusko Alkartasuna,EA,ESP,0
3605,SPAIN,Social and Democratic Center,Centro Democratico y Social,CDS,ESP,0
3606,SPAIN,Basque Nationalist Party,Partido Nacionalista Vasco,PNV,ESP,0
3607,SPAIN,Convergence and Unity,Convergencia i Unio (Catalan),CiU,ESP,0
3608,SPAIN,Popular Party,Partido Popular,PP,ESP,0
3701,SWEDEN,Left Party,Vansterpartiet,V,SWE,0
3702,SWEDEN,Social Democrat,Socialdemokraterna,SdAP,SWE,0
3703,SWEDEN,Green Ecology Party,Miljopartiet de Grona,MP,SWE,0
3704,SWEDEN,Liberal Party,Folkpartiet Liberalerna,FP,SWE,0
3705,SWEDEN,Center Party,Centerpartiet,C,SWE,0
