country,type,party_abbreviation,party_native,party_english,partyfacts_id,election_years,party_id,dup
CYP,parliament,NO,Neoi Orizontes,New Horizons,1191,"1996, 2001",CYP-NO,FALSE
CYP,parliament,SOLIDARITY,Kinima Allileggiis,Solidarity Movement,4883,2016,CYP-SOLIDARITY,FALSE
CYP,parliament,SYPOL,Symmaxia,Citizen's Alliance,3117,2016,CYP-SYPOL,FALSE
CYP,ep,GTE,Evropaiki Dimokratia / Gia tin Evropi,European Democracy / For Europe,697,2004,CYP-GTE,FALSE
CYP,ep,Independent,independent,independent,2652,2014,CYP-Independent,FALSE
CYP,ep,Jasmine Movement,1 percent,1 percent,2654,2019,CYP-Jasmine Movement,FALSE
CYP,ep,MESSAGE OF HOPE,Minima Elpidas,Message of Hope,3116,2014,CYP-MESSAGE OF HOPE,FALSE
CZE,parliament,ANO,Akce nespokojenych obcanu,Action of Dissatisfied Citizens,2141,"2013, 2017",CZE-ANO,FALSE
CZE,parliament,CSSD,Ceska strana socialne demokraticka,Czech Social Democratic Party,177,"2002, 2006, 2010,
2013, 2017",CZE-CSSD,FALSE
CZE,parliament,KDU-CSL,Krestanska a demokraticka unie / Ceskoslovenska strana lidova,Christian Democratic Union / People's Party,676,"2002, 2006, 2010,
2013, 2017",CZE-KDU-CSL,FALSE
CZE,parliament,KSCM,Komunisticka strana Cech a Moravy,Communist Party of Bohemia and Moravia,1728,"2002, 2006, 2010,
2013, 2017",CZE-KSCM,FALSE
CZE,parliament,ODS,Obcanska demokraticka strana,Civic Democratic Party,466,"2002, 2006, 2010,
2013, 2017",CZE-ODS,FALSE
CZE,parliament,PIRATI,Ceska piratska strana,Czech Pirate Party,2047,"2013, 2017",CZE-PIRATI,FALSE
CZE,parliament,SNK,Sdruzeni nezavislych,Association of Independents,884,2002,CZE-SNK,FALSE
CZE,parliament,SNK ED,SNK Evropsti demokrate,SNK European Democrats,751,2006,CZE-SNK ED,FALSE
CZE,parliament,SPD,Svoboda a prima demokracie,Freedom and Direct Democracy,6125,2017,CZE-SPD,FALSE
CZE,parliament,SPOZ,Strana Prav Obcanu - Zemanovci / Strana Prav Obcanu,Party of Civic Rights - Zeman's people / Party of Civic Rights,1272,"2010, 2013",CZE-SPOZ,FALSE
CZE,parliament,STAN,Starostove a Nezavisli - Vase Alternativa,Mayors and Independents -- Your Option,1707,2017,CZE-STAN,FALSE
CZE,parliament,SUVEREN.,Suverenita - blok Jany Bobosikove,Sovereignty - Jana Bobosikova Bloc,293,2010,CZE-SUVEREN.,FALSE
CZE,parliament,SVOBODNI,Strana svobodnych obcanu,Party of Free Citizens,254,"2013, 2017",CZE-SVOBODNI,FALSE
CZE,parliament,SZ,Strana zelenych,Green Party,1554,"2002, 2006, 2010,
2013, 2017",CZE-SZ,FALSE
CZE,parliament,TOP 9.00,Tradice Odpovednost Prosperita 09,Tradition Responsibility Prosperity 09,223,"2013, 2017, 2010",CZE-TOP 9.00,FALSE
CZE,parliament,USVIT,Usvit prime demokracie,Dawn of Direct Democracy,2049,2013,CZE-USVIT,FALSE
CZE,parliament,VV,Veci verejne,Public Affairs,1202,2010,CZE-VV,FALSE
CZE,ep,DSSS,Delnicka strana socialni spravedlnosti,Workers' Party of Social Justice,805,2009,CZE-DSSS,FALSE
CZE,ep,EDS,"Evropska demokraticka
strana",European Democratic Party,165,2009,CZE-EDS,FALSE
CZE,ep,H,Hlas,Voice,7337,2019,CZE-H,FALSE
CZE,ep,KDU/CSL,Krestanska a demokraticka unie / Ceskoslovenska strana lidova,Christian Democratic Union / People's Party,676,"2004, 2009, 2014,
2019",CZE-KDU/CSL,FALSE
CZE,ep,PB,Pravy Blok,Right Bloc,904,2004,CZE-PB,FALSE
CZE,ep,PI,"Ceska piratska
strana",Czech Pirate Party,2047,"2014, 2019",CZE-PI,FALSE
CZE,ep,S - JB,Suverenita - blok Jany Bobosikove,Sovereignty - Jana Bobosikova Bloc,293,2009,CZE-S - JB,FALSE
CZE,ep,SN,Sdruzeni nezavislych,Association of Independents,884,2004,CZE-SN,FALSE
CZE,ep,SN - VA,"Starostove a Nezavisli - Vase
Alternativa","Mayors and Independents - Your
Option",1707,2009,CZE-SN - VA,FALSE
CZE,ep,SNK-ED,SNK Evropsti demokrate,SNK European Democrats,751,"2004, 2009",CZE-SNK-ED,FALSE
CZE,ep,SSO,Strana svobodnych obcanu,Party of Free Citizens,254,"2009, 2014",CZE-SSO,FALSE
CZE,ep,STRANA ZELENYCH,Strana zelenych,Green Party,1554,"2004, 2009, 2014",CZE-STRANA ZELENYCH,FALSE
CZE,ep,SZU,Strana zdraveho rozumu,Party of Common Sense,8923,2014,CZE-SZU,FALSE
CZE,ep,TOP09,Tradice Odpovednost Prosperita 09,Tradition Responsibility Prosperity 09,223,"2014, 2019",CZE-TOP09,FALSE
CZE,ep,UPD,Usvit prime demokracie,Dawn of Direct Democracy,2049,2014,CZE-UPD,FALSE
DNK,parliament,A,Alternativet,The Alternative,4070,"2015, 2019",DKN-A,FALSE
DNK,parliament,CD,Centrumdemokrater ne,Centre Democrats,800,"1990, 1994, 1998,
2001",DKN-CD,FALSE
DNK,parliament,DF,Dansk Folkeparti,Danish Peoples Party,1022,"1998, 2001, 2005,
2007, 2011, 2015,
2019",DKN-DF,FALSE
DNK,parliament,EL,Enhedslisten / De Rod-Gronne,Red-Green Alliance,1527,"1990, 1994, 1998,
2001, 2005, 2007,
2011, 2015, 2019",DKN-EL,FALSE
DNK,parliament,FK,Faelles Kurs,Common Course,1676,1990,DKN-FK,FALSE
DNK,parliament,FP,Fremskridtspartiet,Progress Party,1601,"1990, 1994, 1998",DKN-FP,FALSE
DNK,parliament,K,Konservative Folkeparti,Conservative People's Party,536,"1990, 1994, 1998,
2001, 2005, 2007,
2011, 2015, 2019",DKN-K,FALSE
DNK,parliament,KD,Kristeligt Folkeparti / Kristendemokraterne,Christian People's Party / Christian Democrats,53,"1990, 1994, 1998,
2001, 2005, 2019",DKN-KD,FALSE
DNK,parliament,LA,[Ny] Liberal Alliance,[New] Liberal Alliance,212,"2007, 2011, 2015,
2019",DKN-LA,FALSE
DNK,parliament,NB,Nye Borgerlige,The New Right,7339,2019,DKN-NB,FALSE
DNK,parliament,RV,Det Radikale Venstre,Danish Social-Liberal Party / Radical Liberal Party,1507,"1990, 1994, 1998,
2001, 2005, 2007,
2011, 2015, 2019",DKN-RV,FALSE
DNK,parliament,SD,Socialdemokraterne,Social Democrats,379,"1990, 1994, 1998,
2001, 2005, 2007,
2011, 2015, 2019",DKN-SD,FALSE
DNK,parliament,SF,Socialistisk Folkeparti,Socialist Peoples Party,329,"1990, 1994, 1998,
2001, 2005, 2007,
2011, 2015, 2019",DKN-SF,FALSE
DNK,parliament,SK,Stram Kurs,Hard Line,7338,2019,DKN-SK,FALSE
DNK,parliament,V,Venstre,Liberal Party,1204,"1990, 1994, 1998,
2001, 2005, 2007,
2011, 2015, 2019",DKN-V,FALSE
DNK,ep,ENH,Enhedslisten / De Rod-Gronne,Red-Green Alliance,1527,2019,DKN-ENH,FALSE
DNK,ep,FmEC,Folkebevaegelsen mod EU,People's Movement against the EU,333,"1994, 1999, 2004,
2009, 2014, 2019",DKN-FmEC,FALSE
DNK,ep,JB,JuniBevaegelsen,June Movement,1421,"1994, 1999, 2004,
2009",DKN-JB,FALSE
DNK,ep,KF,Konservative Folkeparti,Conservative People's Party,536,"1994, 1999, 2004,
2009, 2014, 2019",DKN-KF,FALSE
DNK,ep,KrF,"Kristeligt Folkeparti
/ Kristendemokratern e",Christian People's Party / Christian Democrats,53,"1994, 1999, 2004",DKN-KrF,FALSE
EST,parliament,E200,Erakond Eesti 200,Estonia 200,7340,2019,EST-E200,FALSE
EST,parliament,EE,Elurikkuse Erakond,Richness of Life,7341,2019,EST-EE,FALSE
EST,parliament,EEKD,Eesti Kristlikud Demokraadid,Estonian Christian Democrats,790,2007,EST-EEKD,FALSE
EST,parliament,EG,Erakonna Eestimaa Rohelised,Estonian Greens,1040,"2007, 2011, 2019",EST-EG,FALSE
EST,parliament,EK,Eesti Keskerakond,Estonian Centre Party,533,"2003, 2007, 2011,
2015, 2019",EST-EK,FALSE
EST,parliament,EKRE,Eesti Konservatiivne Rahvaerakond,Conservative People’s Party,4094,"2015, 2019",EST-EKRE,FALSE
EST,parliament,ER,Eesti Reformierakond,Estonian Reform Party,821,"2003, 2007, 2011,
2015, 2019",EST-ER,FALSE
EST,parliament,ERL,Eestimaa Rahvalliit,People's Union of Estonia,110,"2003, 2007, 2011",EST-ERL,FALSE
EST,parliament,EV,Eesti Vabaerakond,Estonian Free Party,3271,"2015, 2019",EST-EV,FALSE
EST,parliament,IRL,Erakond Isamaa ja Res Publica Liit,Union of Pro Patria and Res Publica,685,"2007, 2011, 2015,
2019",EST-IRL,FALSE
EST,parliament,ISAMAALIIT,Isamaaliit,Pro Patria Union,779,2003,EST-ISAMAALIIT,FALSE
EST,parliament,KEUR,Konstitutsioonierako nd - Eestimaa Uhendatud Rahvapartei,Constitution Party -- Estonian United People's Party,18,2003,EST-KEUR,FALSE
EST,parliament,RESP,Uhendus vabariigi eest / Res Publica,Union for the Republic / Res Publica Party,491,2003,EST-RESP,FALSE
EST,parliament,SDE-MOODUKAT,Sotsiaaldemokraatlik Erakond - Moodukad,Social Democratic Party -- Moderates,1150,"2003, 2007, 2011,
2015, 2019",EST-SDE-MOODUKAT,FALSE
EST,ep,DEMOKRAADID,Eesti Kristlikud Demokraadid,Estonian Christian Democrats,790,2004,EST-DEMOKRAADID,FALSE
EST,ep,EE200,Erakond Eesti 200,Estonia 200,7340,2019,EST-EE200,FALSE
EST,ep,IE,Isamaaliit,Pro Patria Union,779,2019,EST-IE,FALSE
EST,ep,IND.,independent,independent,2567,2004,EST-IND.,FALSE
EST,ep,ISAMAA,Isamaaliit,Pro Patria Union,779,2004,EST-ISAMAA,FALSE
EST,ep,KESK,Eesti Keskerakond,Estonian Centre Party,533,"2004, 2009, 2014,
2019",EST-KESK,FALSE
EST,ep,RAHVALIIT,Eestimaa Rahvalliit,People's Union of Estonia,110,2004,EST-RAHVALIIT,FALSE
EST,ep,REF,Eesti Reformierakond,Estonian Reform Party,821,"2004, 2009, 2014,
2019",EST-REF,FALSE
