countrycode,party_abbr,party_id,year_first,year_last,seat_share,year
LVA,LZS,230023,1993,1998,12,1993
LVA,LaDP,230016,1995,1995,12,1995
SVK,SV,280004,1994,1994,12,1994
BEL,VB,20020,1978,2019,11.9,2003
BEL,CdH,20012,1968,2019,11.7,1978
LUX,ADR,110009,1989,2018,11.7,1999
LTU,LKDP,240007,1992,2000,11.7,1996
AUT,BZÖ,10008,2006,2008,11.5,2008
CZE,KDU- ČSL,200011,1992,2021,11.5,2021
BEL,PCB-KPB,20001,1946,1981,11.4,1946
FRA,UR,50011,1958,1958,11.4,1958
ESP,C's,150015,2015,2019,11.4,2015
ROU,PPDD,270002,2012,2012,11.4,2012
SVK,ANO,280014,2002,2002,11.4,2002
SVK,SNS,280007,1992,2016,11.4,2016
LTU,TPP,240012,2008,2008,11.3,2008
SVK,SMK,280009,1992,2006,11.3,1994
SVK,LS-NS,280018,2016,2020,11.3,2020
ISL,CP,80014,1987,1987,11.1,1987
ISL,RP,80019,2016,2021,11.1,2016
ISL,CentP,80020,2017,2021,11.1,2017
SVN,NSi-KLS,290016,2000,2022,11.1,2004
GRC,ANEL,70018,2012,2015,11,2012
CZE,STAN,200018,2017,2021,11,2017
CZE,SPD,200019,2017,2021,11,2017
LVA,S!,230040,2022,2022,11,2022
EST,ERSP,210016,1992,1992,10.9,1992
BEL,E,20007,1981,2019,10.8,2019
LUX,KPL,110004,1945,1989,10.7,1968
POL,ZChN,260014,1991,1993,10.7,1991
ITA,PPI,100013,1994,1996,10.6,1996
LTU,TT,240009,2004,2020,10.6,2008
SVK,MH,280011,2010,2016,10.6,2016
HRV,HSS,300014,1990,2020,10.6,2000
BEL,VU,20013,1954,1999,10.4,1974
ROU,AUR,270024,2020,2020,10.4,2020
ITA,PLI,100019,1946,1992,10.3,1946
FIN,VIHR,40004,1983,2023,10,2019
NLD,CPN,120002,1946,1982,10,1946
LVA,LPP-LC,230031,2006,2011,10,2006
LVA,PRO,230042,2022,2022,10,2022
POL,KPN,260004,1991,1993,10,1991
SVN,SDZ,290011,1990,1990,10,1990
SVN,ZS,290014,1990,1992,10,1990
SVN,Zares,290006,2008,2008,10,2008
EST,VKR-P,210021,1992,1995,9.9,1992
LTU,LRLS,240016,2004,2020,9.9,2016
POL,K15,260028,2015,2019,9.9,2015
