"id","country_short","country","party_short","party_english","party_name","name","year_first","year_last","comment","ess_round_1","ess_round_2","ess_round_3","ess_round_4","ess_round_5","ess_round_6"
1124,"CZE","Czech Republic","","Other","","other",2002,2012,"","Other","Other","","Other","Other","Other"
1501,"CZE","Czech Republic","PB","Right Block","","pb right block",2002,2004,"","PB Right Block","PB Right Block","","","",""
1312,"CZE","Czech Republic","RMS","Republicans of Miroslav Sladek","","rms republicans of miroslav sladek",2002,2004,"","RMS Republicans of Miroslav Sladek","RMS Republicans of Miroslav Sladek","","","",""
1180,"CZE","Czech Republic","SV-SOS","P.of Countryside-Assoc.Civic Forces","","sv sos p of countryside assoc civic forces",2002,2004,"","SV-SOS P.of Countryside-Assoc.Civic Forces","SV-SOS P.of Countryside-Assoc.Civic Forces","","","",""
1033,"CZE","Czech Republic","SZ","P.of Greens","","sz",2002,2010,"","SZ P.of Greens","SZ P.of Greens","","SZ","SZ",""
1833,"CZE","Czech Republic","SZJ","Party for Security in Life","","szj p for life securities",2002,2004,"","SZJ P.for Life Securities","SZJ P.for Life Securities","","","",""
1221,"CZE","Czech Republic","TOP09","","","top09",2010,2012,"","","","","","TOP09","TOP09"
1472,"CZE","Czech Republic","US","Freedom Union","","us freedom union",2002,2004,"","US Freedom Union","US Freedom Union","","","",""
1261,"CZE","Czech Republic","VV","","","vv",2010,2012,"","","","","","VV","VV"
1765,"DEU","Germany","","Other","Andere Partei","andere partei",2002,2012,"","Andere Partei","Other","Other party","Other party","Andere Partei","Andere Partei"
1614,"DEU","Germany","","Green Party","Bündnis 90 / Die Grünen","bundnis 90 die grunen",2002,2012,"","Bündnis 90/Die Grünen","Green Party (Bündnis 90/Die Grünen)","Green Party (Bündnis 90/Die Grünen)","Green Party (Bündnis 90/Die Grünen)","Bündnis 90\Die Grünen","Bundnis 90/Die Grunen"
1109,"DEU","Germany","CDU","Christian Democratic Union","","cdu csu",2002,2012,"","CDU/CSU","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","Christian Democratic Union (CDU/CSU)","CDU\CSU","CDU/CSU"
1058,"DEU","Germany","PDS","The Left Party / Party of Democratic Socialism","Linkspartei.PDS / Die Linke","die linke",2006,2012,"","","","The Left Party.Party of Democratic Socialism (Linkspartei.PDS)","The Left Party.Party of Democratic Socialism (Linkspartei.PDS)","Die Linke\PDS","Die Linke"
1801,"DEU","Germany","","Republican Party","Die Republikaner","die republikaner",2002,2012,"","Republikaner","Republican Party (Republikaner)","Republican Party (Republikaner)","Republican Party (Republikaner)","Die Republikaner","Die Republikaner"
1215,"DEU","Germany","FDP","Liberal Democratic Party","","fdp",2002,2012,"","FDP","Liberal Democratic Party (FDP)","Liberal Democratic Party (FDP)","Liberal Democratic Party (FDP)","FDP","FDP"
