cntry,party_id,duplicate,ignore,party_short,party_english,party_name,share,party_id_old,ess_key,party
ES,ES-1-11,,,PA,Partido Andalucista,,0.8,1447,es -- partido andalucista (pa),Partido Andalucista (PA)
ES,ES-3-7,,,PNV,Partido Nacionalista Vasco / Partido Nacionalista Basco,,2.3,1593,es -- partido nacionalista vasco (pnv),Partido Nacionalista Vasco (PNV)
ES,ES-5-1,,,PP,Partido Popular,,32.8,1490,es -- partido popular,Partido Popular
ES,ES-6-1,,,PP,,Partido Popular (con UPN en Navarra),41.9,3020,es -- partido popular - pp (con upn en navarra),Partido Popular - PP (con UPN en Navarra)
ES,ES-1-1,ES-5-1,,PP,Partido Popular,,41.5,1490,es -- partido popular (pp),Partido Popular (PP)
ES,ES-4-2,,,PSOE,Partido Socialista Obrero Español,,51.4,1748,es -- partido socialista obrero español (psoe),Partido Socialista Obrero Español (PSOE)
ES,ES-3-16,,,,,Spoiled vote,0.4,1635,es -- spoiled vote,Spoiled vote
ES,ES-5-10,,,UP,"Unión, Progreso y Democracia",,2.3,1779,es -- unión progreso y democracia (upyd),Unión Progreso y Democracia (UPyD)
ES,ES-7-6,ES-5-10,,UP,"Unión, Progreso y Democracia",,4.5,1779,"es -- unión, progreso y democracia (upyd)","Unión, Progreso y Democracia (UPyD)"
ES,ES-6-15,,,,Votó en blanco,,3.1,1238,es -- votó en blanco,Votó en blanco
ES,ES-6-16,,,,Votó nulo,,1.2,1596,es -- votó nulo,Votó nulo
FI,FI-7-7,,,,Change 2011,,0.2,1691,fi -- change 2011,Change 2011
FI,FI-2-6,,,,Christian Democrats,,4.6,1010,fi -- christian democrats,Christian Democrats
FI,FI-6-15,,,,Communist Party of Finland,,0.3,1346,fi -- communist party,Communist Party
FI,FI-1-11,FI-6-15,,,Communist Party of Finland,,0.3,1346,fi -- communist party of finland,Communist Party of Finland
FI,FI-5-8,,,,Finnish People's Blue-Whites,,0.1,1792,fi -- finnish people's blue-whites,Finnish People's Blue-whites
FI,FI-3-9,,,,Finnish Social Democratic Party/Social Democratic Party,,28.5,1031,fi -- finnish social democratic party,Finnish Social Democratic Party
FI,FI-6-11,,,,For the Poor,,0.1,1226,fi -- for the poor,For the Poor
FI,FI-6-6,,,,Freedom Party,,0.1,1689,fi -- freedom party,Freedom Party
FI,FI-6-12,,,,Green League,,11.3,1903,fi -- green league,Green League
FI,FI-5-11,,,,Independence Party,,0.1,1555,fi -- independence party,Independence Party
FI,FI-1-7,,,,League for Free Finland,,0.1,1723,fi -- league for free finland,League for Free Finland
FI,FI-6-14,,,,Left Alliance,,6.9,1247,fi -- left alliance,Left Alliance
FI,FI-2-3,,,,Liberals,,0.2,1055,"fi -- liberals, (the liberal party of finland)","Liberals, (The liberal party of Finland)"
FI,FI-7-8,,,,Pirate Party,,0.2,1185,fi -- pirate party,Pirate Party
FI,FI-5-9,,,,Senior Citizens' Party,,0.3,1266,fi -- senior citizens' party,Senior Citizens' Party
FI,FI-6-13,FI-3-9,,,Finnish Social Democratic Party/Social Democratic Party,,19.4,1031,fi -- social democratic party,Social Democratic Party
FI,FI-1-4,,,,Centre Party,,26.5,1269,fi -- the centre party,The Centre Party
FI,FI-7-16,,,,Communist Workers' Party,,0.1,1143,fi -- the communist workers' party,The Communist Workers' Party
FI,FI-5-17,,,,Communist Workers' Party of Finland,,0.2,2019,fi -- the communist workers' party of finland,The Communist Workers' Party of Finland
FI,FI-5-13,FI-6-12,,,Green League,,10.7,1903,fi -- the green league,The Green League
FI,FI-1-10,FI-6-14,,,Left Alliance,,7,1247,fi -- the left alliance,The Left Alliance
FI,FI-5-1,,,,National Coalition Party,,26.6,1542,fi -- the national coalition party,The National Coalition Party
FI,FI-1-2,,,SPP,Swedish People´s Party,,5.7,1049,fi -- the swedish people´s party (spp),The Swedish People´s Party (SPP)
FI,FI-7-4,,,,True Finns,,14,1394,fi -- true finns,True Finns
FI,FI-5-18,,,,Workers Party,,0.1,1831,fi -- workers party,Workers Party
FR,FR-1-16,,,,,Autre,3.3,1914,fr -- autre,Autre
FR,FR-5-13,,,,,Autres mouvements écologistes,2,2025,fr -- autres mouvements écologistes,Autres mouvements écologistes
FR,FR-5-17,,,,,Blanc,4,1201,fr -- blanc,Blanc
FR,FR-2-1,,,CPNT,,"Chasse, Pêche, Nature et Traditions",3.6,1856,"fr -- cpnt (chasse, pêche, nature et traditions)","CPNT (Chasse, Pêche, Nature et Traditions)"
FR,FR-4-15,,,,,Divers droite,1.9,1191,fr -- divers droite,Divers droite
FR,FR-5-14,,,,,Divers gauche,1.1,1588,fr -- divers gauche,Divers gauche
FR,FR-1-2,,,DL,,Démocratie libérale,0.9,1963,fr -- dl (démocratie libérale),DL (Démocratie Libérale)
FR,FR-7-12,,,EELV,,Les Verts – Europe Ecologie,6.8,1750,fr -- eelv (europe ecologie les verts),EELV (Europe Ecologie Les Verts)
FR,FR-6-6,,,FDG,,Front de Gauche,5,1718,fr -- fdg (front de gauche),FDG (Front de Gauche)
FR,FR-7-2,,,FN,,Front National,11.9,1911,fr -- fn (front national),FN (Front National)
FR,FR-4-3,,,LCR,,Ligue Communiste Révolutionnaire,1.9,1081,fr -- lcr (ligue communiste révolutionnaire),LCR (Ligue Communiste Révolutionnaire)
FR,FR-5-12,,,,,Les Verts,9.4,2024,fr -- les verts,Les Verts
FR,FR-5-12,FR-7-12,,EELV,,Les Verts – Europe Ecologie,9.4,1750,fr -- les verts,Les Verts
