partyfacts_id,country_name,name,name_english,wp_title,wp_url
6184,Papua New Guinea,PNG Independent Group,PNG [Diro] Independent Group,Papua New Guinea Defence Force,https://en.wikipedia.org/wiki/Papua_New_Guinea_Defence_Force
4876,Peru,Frente Democrático de Unidad Nacional,Democratic Front of National Unity,Democratic Front of National Unity,https://en.wikipedia.org/wiki/Democratic_Front_of_National_Unity
4874,Peru,Movimiento Independiente Agrario,Independent Agrarian Movement,,
5238,Peru,Unión Nacional,National Unity,National Unity (Peru),https://en.wikipedia.org/wiki/National_Unity_(Peru)
4875,Peru,Unidad Democrática Popular,Popular Democratic Unity,Popular Democratic Unity,https://en.wikipedia.org/wiki/Popular_Democratic_Unity
4878,Peru,Unión Revolucionaria,Revolutionary Union,Revolutionary Union (Peru),https://en.wikipedia.org/wiki/Revolutionary_Union_(Peru)
4860,Peru,Izquierda Unida,United Left,,
4877,Peru,Frente Obrero Campesino-Estudiantil y Popular,Worker Peasant Student and Popular Front,Worker Peasant Student and Popular Front,https://en.wikipedia.org/wiki/Worker_Peasant_Student_and_Popular_Front
6891,Philippines,Partido Democrata,Democratic Party,Democratic Convergence of Catalonia,https://en.wikipedia.org/wiki/Democratic_Convergence_of_Catalonia
4653,Philippines,Partido Liberal (Avelino Wing),Liberal Party (Avelino Wing),Liberal Party (Philippines),https://en.wikipedia.org/wiki/Liberal_Party_(Philippines)
4657,Philippines,Partido Nacionalista (Quezon Wing),Nacionalist Party (Quezon Wing),1935 Philippine presidential election,https://en.wikipedia.org/wiki/1935_Philippine_presidential_election
4607,Philippines,Partido Nacionalista Colectivista,Nationalist Collective Party,,
4608,Philippines,Partido Nacionalista Consolidados,Nationalist Consolidation Party,,
4606,Philippines,Liga Popular Nacionalista,National Popular Liga,Elections in the Philippines,https://en.wikipedia.org/wiki/Elections_in_the_Philippines
5656,Philippines,Pusyon Bisaya,Pusyon Bisaya,Interim Batasang Pambansa,https://en.wikipedia.org/wiki/Interim_Batasang_Pambansa
6361,Poland,Christian National Peoples,Christian National Peoples,Christian state,https://en.wikipedia.org/wiki/Christian_state
