"country","name_short","name","name_english","year_first","year_last","party_id","partyfacts_id"
"SVK","HZDS","Hnutie za demokratické Slovensko","People's Party - Movement for a Democratic Slovakia",1991,2014,"703003",
"SVK","KDH","Krescanskodemokratické hnutie","Christian Democratic Movement",1990,,"703004",
"SVK","KSS","Komunistická strana Slovenska","Communist Party of Slovaka",1991,,"703005",
"SVK","MOST-HID",,"Bridge",2009,,"703006",
"SVK","OLaNO","Obycajní Ludia a nezávislé osobnosti","Ordinary People and Independent Personalities",2011,,"703007",
"SVK","PSNS","Pravá slovenská národná strana","True Slovak National Party",2001,2005,"703008",
"SVK","SaS","Sloboda a Solidarita","Freedom & Solidarity",2009,,"703009",
"SVK","SDKU-DS","Slovenská demokratická a krestanská únia – Demokratická strana","Slovak Democratic and Christian Union - Democratic Party",2000,,"703010",
"SVK","SDL","Strana demokratickej lavice","The Party of the Democratic Left",1990,2005,"703011",
"SVK","SF","Slobodné fórum","Free Forum",2004,,"703012",
"SVK","SMER-SD","Smer–sociálna demokracia","Direction - Social Democracy",1999,,"703013",
"SVK","SMK","Strana madarskej komunity","Party of the Hungarian Community",1998,,"703014",
"SVK","SNS","Slovenská národná strana","Slovak National Party",1990,,"703015",
"SVK","SIET","SIET - SPÁJAME SLOVENSKO","Network",2014,,"703016",
"SVN","LDS","Liberalna demokracija Slovenije Liberal Democracy of Slovenia","Liberal Democracy of Slovenia",1990,,"705001",975
"SVN","ZLSD","Združena lista socialnih demokratov","United List of Social Democrats",1993,,"705002",1403
"SVN","SDS","Socialdemokratska stranka Slovenije","Social Democratic Party of Slovenia",1989,,"705003",472
"SVN","SLS","Slovenska ljudska stranka","Slovene People's Party",1988,,"705004",764
"SVN","DESUS","Demokraticna stranka upokojencev Slovenije","Democratic Party of Retired Persons of Slovenia",1991,,"705005",467
"SVN","NSI","Nova Slovenija - kršcansko ljudska stranka","New Slovenia - Christian Democrats",2000,,"705006",1618
"SVN","SKD","Slovenski kršcanski demokrati","Slovene Christian Democrats",1989,2000,"705007",
"SVN","Zares","Zares - nova politika","Zares - New Politics",2007,,"705008",474
"SVN","PS","Pozitivna Slovenija","Positive Slovenija",2011,,"705009",
"SVN","DL","Državljanska lista","Civic List",2011,,"705010",
"SVN","SNS","Slovenska nacionalna stranka","Slovene National Party",1991,,"705011",96
"SVN","Lipa","Lipa","Lime Tree",2008,,"705012",881
"SVN","AS","Aktivna Slovenija","Active Slovenia",2004,2007,"705013",1302
"SVN","SMS","Stranka mladih Slovenije","Youth Party of Slovenia",2000,,"705014",
"ESP","PSOE","Partido Socialista Obrero Español","Spanish Socialist Workers' Party",1974,,"724001",1338
"ESP","AP","Alianza Popular","People's Alliance",1976,,"724002",441
"ESP","IU","Izquierda Unida","United Left",1986,,"724003",247
"ESP","PCE","Partido Comunista de España","Comunist Party of Spain",1977,,"724004",247
"ESP","UCD","Unión de Centro Democrático","Union of the Democratic Centre",1977,1983,"724005",1271
"ESP","CDS","Centro Democrático y Social","Democratic and Social Centre",1982,2006,"724006",1248
"ESP","UPyD","Unión Progreso y Democracia","Union Progress and Democracy",2007,,"724007",
"ESP","CS","Ciutadans/Ciudadanos","Citizens",2006,,"724009",
"ESP","CDC","Convergència Democràtica de Catalunya","Democratic Convergence of Catalonia",1974,,"724010",
"ESP","PSC","Partit dels Socialistes de Catalunya","Socialists' Party of Catalonia",1978,,"724011",586
"ESP","PNV","Partido Nacionalista Vasco","Basque Nationalist Party",1977,,"724012",1637
