"country","party_id","party_abbrev","party_name","party_name_english"
"IT",807,"PSDI; SDI","Partito Socialista Democratico Italiano; Socialisti Democratici Italiani","Italian Democratic Socialist Party; Italian Democratic Socialists"
"IT",808,"FdV;Verdi","Federazione dei Verdi","Federation of Greens"
"IT",811,"LN","Lega Nord","Northern League"
"IT",813,"RAD","Radicali Italiani","Italian Radicals"
"IT",814,"CCD; UDC","Centro Cristiano Democratico; Unione dei Democratici Cristiani e die Democratici di Centro; Unione di Centro","Christian Democratic Center; Union of Christian and Center Democrats; Union of the Centre"
"IT",815,"FI","Forza Italia","Forward Italy"
"IT",817,"CU/UD","Unione Democratica","Democratic Union"
"IT",818,"CDU","Cristiani Democratici Uniti","United Christian Democrats"
"IT",819,"DEM; DL","I Democratici; Democrazia è Libertà—La Margherita","The Democrats; Democracy is Freedom—The Daisy"
"IT",820,"LB","Lista Bonino","Bonino List"
"IT",821,"MS","Movimento Sociale Fiamma Tricolore","Tricolor Flame Social Movement"
"IT",822,"PdUP","Partito di Unità Proletaria","Party of Proletarian Unity for Communism"
"IT",823,"PPI","Partito Popolare Italiano","Italian Popular Party"
"IT",824,"PsDA","Partito Sardo d’Azione","Sardinian Action Party"
"IT",825,"RI","Rinnovamento Italiano","Italian Renewal-Dini List"
"IT",826,"SEG","Patto Segni","Segni Pact"
"IT",827,"SVP","Südtiroler Volkspartei","South Tyrolean People’s Party"
"IT",828,"IdV","Di Pietro-Italia dei Valori","Italy of Values"
"IT",829,"UDEUR","Popolari-UDEUR","Popular-UDEUR"
"IT",830,"PP","Partito dei Pensionati","Pensioners’ Party"
"IT",832,"MRE","Movimento Repubblicani Europei","European Republican Movement"
"IT",835,"NPSI","Nuovo Partito Socialista Italiano","New Italian Socialist Party"
"IT",836,"PdCI","Partito dei Comunisti Italiani","Party of Italian Communists"
"IT",837,"PD","Partido Democratico","Democratic Party"
"IT",838,"SL; SEL","Sinistra e Libertà; Sinistra Ecologia Libertà","Left and Freedom; Left Ecology Freedom"
"IT",839,"PSI","Partito Socialista Italiano","Italian Socialist Party"
"IT",840,"MpA","Movimento per le Autonomie","Movement for Autonomies"
"IT",842,"SD","Sinistra Democratica","Democratic Left"
"IT",843,"CD","Centro Democratico—Diritti e Libertá","Democratic Centre"
"IT",844,"FDL","Fratelli d’Italia","Brothers of Italy"
"IT",845,"M5S","MoVimento Cinque Stelle","Five Star Movement"
"IT",846,"SC","Scelta Civica","Civic Choice"
"IT",847,"VdA","Vallée d’Aoste","Aosta Valley"
"IT",848,"NCD","Nuovo Centrodestra","New Centre-Right"
"NL",1001,"CDA","Christen-Democratisch Appel","Christian Democratic Appeal"
"NL",1002,"PvdA","Partij van de Arbeid","Labour Party"
"NL",1003,"VVD","Volkspartij voor Vrijheid en Democratie","People’s Party for Freedom and Democracy"
"NL",1004,"D66","Democraten 66","Democrats 66"
"NL",1005,"GL","GroenLinks","GreenLeft"
"NL",1006,"SGP","Staatkundig Gereformeerde Partij","Political Reformed Party"
"NL",1007,"GPV","Gereformeerd Politiek Verbond","Reformed Political League"
"NL",1008,"RPF","Reformatorische Politieke Federatie","Reformational Political Federation"
"NL",1009,"CD","Centrum Democraten","Center Democrats"
"NL",1014,"SP","Socialistische Partij","Socialist Party"
"NL",1015,"LPF","Lijst Pim Fortuyn","Lijst Pim Fortuyn"
"NL",1016,"CU","ChristenUnie","ChristianUnion"
"NL",1017,"PVV","Partij voor de Vrijheid","Party for Freedom"
"NL",1018,"PvdD","Partij voor de Dieren","Party for the Animals"
"NL",1020,"50PLUS","50PLUS","50PLUS"
"UK",1101,"Cons","Conservative Party","Conservative Party"
"UK",1102,"Lab","Labour Party","Labour Party"
"UK",1104,"LibDem","Liberal Democratic Party","Liberal Democratic Party"
"UK",1105,"SNP","Scottish National Party","Scottish National Party"
"UK",1106,"Plaid","Plaid Cymru","Party of Wales"
"UK",1107,"Green","Green Party","Green Party"
"UK",1108,"UKIP","United Kingdom Independence Party","United Kingdom Independence Party"
"UK",1109,"BNP","British National Party","British National Party"
"POR",1201,"CDU","Coligação Democrática Unitária","Democratic Unitarian Coalition"
"POR",1202,"CDS; PP","Centro Democrático e Social; Partido Popular","Democratic and Social Center; People’s Party"
"POR",1205,"PS","Partido Socialista","Socialist Party"
"POR",1206,"PPD; PSD","Partido Popular Democrático; Partido Social Democrata","Democratic People’s Party; Social Democratic Party"
"POR",1208,"BE","Bloco de Esquerda","Left Bloc"
"POR",1209,"MPT","Partido da Terra","Earth Party"
"AUS",1301,"SPÖ","Sozialdemokratische Partei Österreichs","Social Democratic Party of Austria"
"AUS",1302,"ÖVP","Österreichische Volkspartei","Austrian People’s Party"
"AUS",1303,"FPÖ","Freiheitliche Partei Österreichs","Freedom Party of Austria"
"AUS",1304,"Grüne","Die Grünen","The Austrian Green Party"
"AUS",1306,"LIF; NEOS","Liberales Forum; NEOS—Das Neue Österreich und Liberales Forum","Liberal Forum; NEOS—The New Austria and Liberal Forum"
"AUS",1307,"BZÖ","Bündnis Zukunft Österreich","Alliance for the Future of Austria"
"AUS",1308,"MARTIN","Liste Dr. Hans-Peter Martin","Hans-Peter Martin’s List"
"AUS",1310,"TeamStronach","Team Stronach für Österreich","Team Stronach for Austria"
"FIN",1401,"SDP","Suomen Sosialidemokraattinen","Social Democratic Party of Finland"
"FIN",1402,"KOK","Kansallinen Kokoomus","National Coalition Party"
"FIN",1403,"KESK","Suomen Keskusta","Finnish Center Party"
"FIN",1404,"VAS","Vasemmistoliitto","Left Alliance"
"FIN",1405,"PS","Persussuomalaiset","True Finns"
"FIN",1406,"RKP/SFP","Ruotsalainen kansanpuolue / Svenska folkpartiet","Swedish People’s Party"
"FIN",1408,"VIHR","Vihreä Liitto","Green League"
"FIN",1409,"SKL; KD","Suomen Kristillinen Liitto; Kristillisdemokraatit","Finish Christian League; Christian Democrats"
"FIN",1411,"EKA","Eläkeläiset Kansan Asialla","Pensioners for the People"
"FIN",1412,"REM","Remonttiryhmä","Reform Group"
"FIN",1413,"KIPU","Kirjava “puolue” - Elonkehän puolesta","Ecological Party"
"SV",1601,"V","Vänsterpartiet","Left Party"
"SV",1602,"SAP","Arbetarpartiet- Socialdemokraterna; Sveriges Socialdemokratiska Arbetareparti","Worker’s Party-Social Democrats; Swedish Social Democratic Party"
"SV",1603,"C","Centerpartiet","Center Party"
"SV",1604,"FP","Folkpartiet liberalerna","Liberal People’s Party"
"SV",1605,"M","Moderaterna; Moderata Samlingspartiet","Moderate Party"
"SV",1606,"KD","Kristdemokraterna","Christian-Democrats"
"SV",1607,"MP","Miljöepartiet de Gröna","Environment Party—The Greens"
"SV",1608,"NyD","Ny Demokrati","New Democracy"
"SV",1609,"JL","Junilistan","June List"
"SV",1610,"SD","Sverigedemokraterna","Sweden Democrats"
"SV",1611,"PIRAT","Piratpartiet","Pirate Party"
"SV",1612,"FI","Feministiskt initiativ","Feminist Initative"
"BUL",2001,"NDSV","Nacionalno Dviženie Simeon Vtori","National Movement Simeon II"
"BUL",2002,"ODS; SDS","Obedineni Demokraticni Sili; Sayuz na demokratichnite sili","United Democratic Forces; Union of Democratic Forces"
"BUL",2003,"KzB; BSP","Koalicija za Bǎlgarija; BSP—Lyava Bulgaria","Coalition for Bulgaria; BSP—Left Bulgaria"
"BUL",2004,"DPS","Dviženie za Prava i Svobodi","Movement for Rights and Freedoms"
"BUL",2005,"G-VMRO; VMRO-BND","Dviženie Gergiovden; VMRO—Bulgarsko Natsionalno Dvizhenie","Gergiovden-VMRO; VMRO—Bulgarian National Movement"
"BUL",2006,"KSII","Koalicija Simeon II","Coalition Simeon II"
"BUL",2007,"NOA; Ataka","Nacionalno Obedinenie Ataka; Ataka","National Union Attack; Attack"
"BUL",2008,"DSB","Demokrati za Silna Bǎlgarija","Democrats for a Strong Bulgaria"
"BUL",2009,"BNS","Bǎlgarski Naroden Sǎjuz","Bulgarian People’s Union"
