country_short,name_short,name_english,party_id,year_first,year_last,hos_first,hog_first
FIN,KE,National Progressive Party,1862,1919,1943,1919 Kaarlo Juho Ståhlberg (President),1919 Juho Heikki Vennola (President)
FIN,KESK,Agrarian Union / Centre Party,901,1922,2018,1925 Lauri Kristian Relander (President),1922 Kyösti Kallio (President)
FIN,SDP,Social Democratic Party of Finland,1303,1926,2020,1931 Pehr Evind Svinhufvud af Qvalstad (President),1926 Väinö Alfred Tanner (President)
FIN,KOK,National Coalition Party,495,1918,2020,1946 Juho Kusti Paasikivi (President),1918 Lauri Johannes Ingman (Lieutenant of the Realm)
FRA,RM / RO,Moderate Republicans / Opportunist Republicans,8221,1880,1898,1880 François Jules Paul Grévy (President),1880 Jules Ferry (President)
FRA,UR/AD,Republican Union / Democratic Alliance,3159,1899,1940,1899 Émile François Loubet (President),1899 Pierre Marie René Ernest Waldeck-Rousseau (President)
FRA,PR,Radical [Socialist] Party,14,1886,1957,1924 Pierre Paul Henri Gaston Doumergue (President),1886 René Marie Goblet (President)
FRA,SFIO,French Section of the Workers' International,4785,1936,1956,1946 Léon André Blum (Chairman of the Provisional Government),1936 Léon André Blum (President)
FRA,CNIP,National Centre of Independents and Peasants,1629,1952,1958,1954 René Jules Gustave Coty (President),1952 Antoine Pinay (President)
FRA,UNR,Union for the New Republic,5514,1958,1967,1959 Charles de Gaulle (President),1958 Charles de Gaulle (President)
FRA,UDR,Union of Democrats for the Republic,8041,1968,1975,1968 Charles de Gaulle (President),1968 Maurice Jacques Couve de Murville (President)
FRA,RI,Independent Republicans,1246,1974,1977,1974 Valéry Giscard d'Estaing (President),
FRA,UDF,Union for French Democracy,213,1976,1980,1978 Valéry Giscard d'Estaing (President),1976 Raymond Octave Joseph Barre (President)
