party_id,country,party_name_short,party_name_english,party_name,family,url,first,last,cabinet_n,election_n,share_max_year,share_max,wikipedia
875,SVN,SOS,Slovenian Liberal Party,Slovenska obrtniöka stranka,lib,http://www.parlgov.org/explore/svn/party/875/,1990,1992,1,2,1990,3.5,https://sl.wikipedia.org/wiki/Socialna_liberalna_stranka
2275,SVN,SOPS,Slovenian Craftsmen and Entreprenerial Party,Slovenska obrtno podjetniška stranka,lib,http://www.parlgov.org/explore/svn/party/2275/,1990,1996,,3,1990,1.6,""
2245,SVN,SF,Slovenian Forum,Slovenski forum,code,http://www.parlgov.org/explore/svn/party/2245/,1996,1996,,1,1996,1.1,"http://en.wikipedia.org/wiki/Slovenian_parliamentary_election,_1996"
317,SVN,SSS,Socialist Party of Slovenia,Socialistična stranka Slovenije,com,http://www.parlgov.org/explore/svn/party/317/,1990,1992,,2,1990,5.4,http://en.wikipedia.org/wiki/Socialist_Party_of_Slovenia
2386,SVN,S,Solidarity,Solidarnost ,soc,http://www.parlgov.org/explore/svn/party/2386/,2014,2014,,1,2014,1.7,http://sl.wikipedia.org/wiki/Solidarnost_%28politi%C4%8Dna_stranka%29
1946,SVN,LIPA,Party Lime Tree,Stranka Lipa,right,http://www.parlgov.org/explore/svn/party/1946/,2008,2008,,1,2008,1.8,http://en.wikipedia.org/wiki/Lipa_(political_party)
1512,SVN,SMS,Youth Party of Slovenia,Stranka mladih Slovenije,eco,http://www.parlgov.org/explore/svn/party/1512/,2000,2009,,2,2000,4.3,http://en.wikipedia.org/wiki/Youth_Party_of_Slovenia
2333,SVN,SMC,Modern Center Party,Stranka modernega,soc,http://www.parlgov.org/explore/svn/party/2333/,2014,2019,4,2,2014,34.5,http://en.wikipedia.org/wiki/Party_of_Miro_Cerar
2244,SVN,SN,Party of Independence,Stranka neodvisnih,code,http://www.parlgov.org/explore/svn/party/2244/,1992,1992,,1,1992,1.4,"http://en.wikipedia.org/wiki/Slovenian_parliamentary_election,_1992"
1989,SVN,TRS,Party for Sustainable Development of Slovenia,Stranka za trajnostni razvoj Slovenije,soc,http://www.parlgov.org/explore/svn/party/1989/,2011,2011,,1,2011,1.2,http://sl.wikipedia.org/wiki/Stranka_za_trajnostni_razvoj_Slovenije
2384,SVN,V,I Believe ,Verjamem,soc,http://www.parlgov.org/explore/svn/party/2384/,2014,2014,,1,2014,10.3,http://en.wikipedia.org/wiki/Verjamem
326,SVN,Zares,For Real,Zares,soc,http://www.parlgov.org/explore/svn/party/326/,2008,2009,1,1,2008,9.4,http://en.wikipedia.org/wiki/Zares
2337,SVN,ZaAB,Alliance of Alenka Bratusek,Zavezništvo Alenke Bratušek,soc,http://www.parlgov.org/explore/svn/party/2337/,2014,2019,1,2,2018,5.1,https://en.wikipedia.org/wiki/Party_of_Alenka_Bratu%C5%A1ek
2334,SVN,ZdLe,United Left,Združena levica,com,http://www.parlgov.org/explore/svn/party/2334/,2014,2014,,1,2014,6,http://en.wikipedia.org/wiki/United_Left_(Slovenia)
