wave,year,country,party,n,share
3,1998,807,807002,55,5.6
3,1998,807,807003,72,7.4
3,1998,807,807007,88,9
3,1998,807,807008,184,18.9
3,1998,807,807011,158,16.2
3,1998,807,807012,19,1.9
3,1998,807,807013,24,2.5
3,1998,807,807014,7,0.7
3,1998,807,807015,5,0.5
3,1998,807,807016,4,0.4
3,1998,807,807017,12,1.2
3,1998,807,807037,219,22.4
3,1998,807,807038,129,13.2
3,1998,826,826001,218,26.8
3,1998,826,826002,432,53.2
3,1998,826,826003,122,15
3,1998,826,826006,34,4.2
3,1998,826,826007,2,0.2
3,1998,826,826009,4,0.5
3,1998,840,840001,578,39.6
3,1998,840,840002,696,47.6
3,1998,840,840003,187,12.8
3,1998,858,858001,190,27.1
3,1998,858,858002,160,22.8
3,1998,858,858003,295,42.1
3,1998,858,858005,56,8
3,1998,862,862002,225,47.2
3,1998,862,862003,28,5.9
3,1998,862,862004,97,20.3
3,1998,862,862007,87,18.2
3,1998,862,862009,40,8.4
3,1998,911,911001,106,12.7
3,1998,911,911002,82,9.8
3,1998,911,911003,74,8.8
3,1998,911,911015,395,47.2
3,1998,911,911025,45,5.4
3,1998,911,911027,18,2.2
3,1998,911,911031,7,0.8
3,1998,911,911036,57,6.8
3,1998,911,911037,14,1.7
3,1998,911,911038,7,0.8
3,1998,911,911039,12,1.4
3,1998,911,911040,2,0.2
3,1998,911,911041,2,0.2
3,1998,911,911042,2,0.2
3,1998,911,911043,1,0.1
3,1998,911,911044,1,0.1
3,1998,911,911045,10,1.2
3,1998,911,911046,2,0.2
3,1998,912,912020,2,1.2
3,1998,912,912021,1,0.6
3,1998,912,912023,3,1.8
3,1998,912,912027,4,2.4
3,1998,912,912029,2,1.2
3,1998,912,912030,1,0.6
3,1998,912,912031,4,2.4
3,1998,912,912032,103,62
3,1998,912,912033,14,8.4
3,1998,912,912034,27,16.3
3,1998,912,912035,2,1.2
3,1998,912,912040,1,0.6
3,1998,912,912042,2,1.2
3,1998,914,70003,1,0.1
3,1998,914,70009,250,36.4
3,1998,914,70010,106,15.5
3,1998,914,70012,1,0.1
3,1998,914,70029,44,6.4
3,1998,914,70030,143,20.8
3,1998,914,70031,1,0.1
3,1998,914,70032,5,0.7
3,1998,914,70033,4,0.6
3,1998,914,70034,7,1
3,1998,914,70035,2,0.3
3,1998,914,70036,7,1
3,1998,914,70037,4,0.6
3,1998,914,70038,1,0.1
3,1998,914,70039,109,15.9
3,1998,914,70041,1,0.1
4,2004,8,8001,371,38.8
4,2004,8,8002,297,31.1
4,2004,8,8003,58,6.1
4,2004,8,8004,44,4.6
4,2004,8,8005,25,2.6
4,2004,8,8006,27,2.8
4,2004,8,8007,38,4
4,2004,8,8008,16,1.7
4,2004,8,8009,19,2
4,2004,8,8010,20,2.1
4,2004,8,8011,10,1
4,2004,8,8012,23,2.4
4,2004,8,8014,1,0.1
4,2004,8,8015,7,0.7
4,2004,12,12001,337,51.9
4,2004,12,12002,34,5.2
4,2004,12,12003,103,15.9
4,2004,12,12004,58,8.9
4,2004,12,12005,57,8.8
4,2004,12,12006,60,9.2
4,2004,32,32012,335,45.8
4,2004,32,32013,342,46.8
4,2004,32,32014,54,7.4
4,2004,50,50001,712,48.6
4,2004,50,50002,481,32.8
4,2004,50,50003,192,13.1
4,2004,50,50004,80,5.5
4,2004,70,70001,5,0.7
4,2004,70,70002,38,5.4
4,2004,70,70003,15,2.1
4,2004,70,70004,51,7.2
4,2004,70,70005,10,1.4
4,2004,70,70006,43,6.1
4,2004,70,70007,5,0.7
4,2004,70,70008,2,0.3
4,2004,70,70009,130,18.4
4,2004,70,70010,130,18.4
4,2004,70,70011,2,0.3
4,2004,70,70012,21,3
4,2004,70,70013,15,2.1
4,2004,70,70014,1,0.1
4,2004,70,70015,184,26
4,2004,70,70016,38,5.4
4,2004,70,70017,10,1.4
4,2004,70,70018,5,0.7
4,2004,70,70019,3,0.4
4,2004,124,124001,658,47.2
4,2004,124,124002,169,12.1
4,2004,124,124003,150,10.8
4,2004,124,124005,218,15.6
4,2004,124,124006,165,11.8
4,2004,124,124007,11,0.8
4,2004,124,124010,5,0.4
4,2004,124,124011,1,0.1
4,2004,124,124013,1,0.1
4,2004,124,124014,1,0.1
4,2004,124,124018,1,0.1
4,2004,124,124021,4,0.3
4,2004,124,124022,3,0.2
4,2004,124,124024,1,0.1
4,2004,124,124029,1,0.1
4,2004,124,124030,1,0.1
4,2004,124,124031,2,0.1
4,2004,124,124034,1,0.1
4,2004,124,124046,1,0.1
4,2004,124,124047,1,0.1
4,2004,152,152001,109,14.4
4,2004,152,152002,85,11.3
4,2004,152,152003,3,0.4
4,2004,152,152004,183,24.2
4,2004,152,152005,9,1.2
4,2004,152,152006,160,21.2
4,2004,152,152007,104,13.8
4,2004,152,152008,12,1.6
4,2004,152,152009,16,2.1
4,2004,152,152012,74,9.8
4,2004,356,356001,519,33.2
4,2004,356,356003,4,0.3
4,2004,356,356004,6,0.4
4,2004,356,356005,103,6.6
4,2004,356,356006,73,4.7
4,2004,356,356007,7,0.4
4,2004,356,356009,38,2.4
4,2004,356,356010,3,0.2
4,2004,356,356011,8,0.5
4,2004,356,356014,39,2.5
4,2004,356,356015,2,0.1
4,2004,356,356016,21,1.3
4,2004,356,356017,82,5.2
4,2004,356,356018,7,0.4
4,2004,356,356019,24,1.5
4,2004,356,356020,10,0.6
4,2004,356,356024,2,0.1
4,2004,356,356028,1,0.1
4,2004,356,356029,5,0.3
4,2004,356,356030,5,0.3
4,2004,356,356033,13,0.8
4,2004,356,356034,6,0.4
4,2004,356,356035,1,0.1
4,2004,356,356037,46,2.9
4,2004,356,356038,34,2.2
4,2004,356,356042,4,0.3
4,2004,356,356044,50,3.2
4,2004,356,356045,1,0.1
4,2004,356,356046,2,0.1
4,2004,356,356054,8,0.5
4,2004,356,356068,441,28.2
4,2004,360,360001,211,31.4
4,2004,360,360002,214,31.8
4,2004,360,360003,94,14
4,2004,360,360004,81,12.1
4,2004,360,360005,72,10.7
4,2004,364,364002,381,42.9
4,2004,364,364003,507,57.1
4,2004,368,368001,162,19.9
4,2004,368,368002,129,15.9
4,2004,368,368003,104,12.8
4,2004,368,368004,137,16.9
4,2004,368,368005,54,6.6
4,2004,368,368006,18,2.2
4,2004,368,368007,74,9.1
4,2004,368,368008,16,2
4,2004,368,368009,94,11.6
4,2004,368,368010,3,0.4
4,2004,368,368011,1,0.1
4,2004,368,368012,7,0.9
4,2004,368,368013,14,1.7
