statename,affiliation,first,last
Ghana,CPP,1957,1966
Ghana,Mil,1966,1992
Ghana,NDC,1993,2001
Ghana,NPP,2001,2008
Ghana,PNP,1979,1981
Ghana,PP,1969,1972
Greece,CR,1924,1925
Greece,CU,1963,1965
Greece,DE,1924,1932
Greece,Diss-CU,1965,1966
Greece,EEK,1945,1945
Greece,EK,1944,1945
Greece,EPEK,1950,1952
Greece,ERE,1957,1974
Greece,ERK,1926,1926
Greece,FLP,1926,1928
Greece,FOP,1926,1928
Greece,GRAL,1952,1956
Greece,House of Denmark,1920,1922
Greece,KF,1919,1936
Greece,LIB,1946,1952
Greece,LIB-?,1950,1950
Greece,LIB-Nat,1946,1947
Greece,LIB-Ref,1946,1947
Greece,LIB-Sof,1945,1950
Greece,LIB-Ven,1947,1950
Greece,LK,1920,1935
Greece,LKK,1955,1955
Greece,Mil,1922,1974
Greece,ND,1975,2008
Greece,Non-party,1926,1990
Greece,NP,1947,1949
Greece,NPU,1946,1947
Greece,NRP,1935,1935
Greece,NU,1949,1950
Greece,NUP,1950,1950
Greece,PASOK,1981,2004
Greece,POP,1946,1950
Greece,PP,1965,1966
Greece,ProgLib,1926,1928
Greece,SocDem,1947,1951
Greece,SYN,1989,1990
Guatemala,FRG,2000,2004
Guatemala,GANA,2004,2008
Guatemala,Lib,1919,1944
Guatemala,MAS,1991,1993
Guatemala,Mil,1921,1986
Guatemala,Non-Party,1993,1996
Guatemala,PAN,1957,2000
Guatemala,PAR,1945,1954
Guatemala,PDCG,1986,1991
Guatemala,PRDN,1958,1963
Guatemala,UNE,2008,2008
Guatemala,Unknown,1930,1930
Guinea,Mil,1984,2008
Guinea,PDG,1958,1984
Guinea,PUP,1992,2008
Guinea-Bissau,Mil,1980,2003
Guinea-Bissau,Non-party,2003,2005
Guinea-Bissau,PAIGC,1974,2008
Guinea-Bissau,PRS,2000,2003
Guyana,PNC-R,1966,1992
Guyana,PPP-C,1992,2008
Guyana,UF,1966,1969
Haiti,FL,2001,2004
Haiti,FLP,2006,2008
Haiti,FNCD,1991,1996
Haiti,Mil,1946,1994
Haiti,MOP,1957,1957
Haiti,Non-party,1946,2006
Haiti,OPL,1994,2001
Haiti,PUN,1957,1971
Haiti,RDNP,1988,1988
Haiti,Unknown,1934,1946
Honduras,Mil,1956,1982
Honduras,PLH,1919,2008
Honduras,PNH,1919,2006
Hungary,F48,1919,1919
Hungary,Fidesz,1998,2002
Hungary,FKGP,1998,2002
Hungary,FKPG,1990,1994
Hungary,KDNP,1990,1994
Hungary,KNEP,1919,1920
Hungary,MDF,1990,2002
Hungary,MDP,1945,1956
Hungary,mil,1920,1944
Hungary,MKP,1945,1956
Hungary,MSzMP,1956,1989
Hungary,MSzP,1919,2008
Hungary,MSZP,1989,1990
Hungary,NEP,1922,1944
Hungary,SzDP,1919,1919
Hungary,SZDSZ,1994,2008
Hungary,unknown,1944,1945
India,BJP,1989,1996
India,BJP-NDA,1998,2004
India,Christians,1947,1952
India,INC,1947,1977
India,INC-I,1980,1996
India,INC-O,1979,1980
India,INC-UPA,2004,2008
India,JD-S,1990,1991
India,JP,1977,1979
India,JP-S,1979,1980
India,LF,1989,1990
India,Mhas,1947,1952
India,NF-JD,1989,1990
India,Parsee,1947,1952
India,Sikh,1947,1952
India,UF-DMK,1997,1998
India,UF-JD,1996,1997
Indonesia,Golkar,1966,1999
Indonesia,PD,2004,2008
Indonesia,PDI-P,2001,2004
Indonesia,PKB,1999,2001
Indonesia,PNI,1949,1966
Iran,AII,2005,2008
Iran,Mil,1921,1925
Iran,NF,1951,1953
Iran,Non-party,1979,2005
Iran,Pahlavi Dynasty,1926,1979
Iran,Qajar dynasty,1919,1921
Iraq,Ba'ath,1968,2003
Iraq,Hashimid Dynasty,1932,1958
Iraq,IDM,2005,2008
Iraq,IIA,1963,1968
Iraq,INA,2004,2005
Iraq,Mil,1958,1979
Iraq,United States,2003,2004
Ireland,CG,1922,1932
Ireland,CNP,1948,1951
Ireland,CNT,1948,1957
Ireland,DL,1994,1997
Ireland,FF,1932,2008
Ireland,"FF,FF",1989,1989
Ireland,FG,1948,1997
Ireland,GP,2008,2008
Ireland,LAB,1948,1997
Ireland,PD,1989,2008
Israel,AA,1956,1966
Israel,AIS,1992,1992
Israel,AY,2006,2006
Israel,CP,1999,2003
Israel,CRIT,1974,1974
Israel,DASH,1978,1981
Israel,DH,2006,2006
Israel,GHAL,1970,1970
Israel,GIL,2007,2008
Israel,GZ,1953,1955
Israel,HDASH,1995,1996
Israel,HMIZ,1953,1955
Israel,HRUT,1968,1969
Israel,IL,2001,2008
Israel,ILIB,1967,1977
Israel,KAD,2006,2008
Israel,LAB,1984,1996
Israel,LAB-Gesher-Meimad,1999,2000
Israel,LAB-Meimad,2001,2008
Israel,LIK,1977,2006
Israel,MAPAI,1951,1961
Israel,MIZR,1953,1955
Israel,MMPAI-ALNM,1969,1969
Israel,MPAI,1948,1966
Israel,MPAI-ALNM,1967,1973
Israel,MPAI-LAB,1974,1977
Israel,MPAM,1956,1969
Israel,MRET,1993,2000
Israel,MSHA,1984,1988
Israel,NRP,1956,2004
Israel,NRP(Shamir),1992,1992
Israel,OMET,1984,1988
Israel,One,2001,2002
Israel,PROG,1948,1961
Israel,RAFI,1968,1969
Israel,SEPH,1948,1951
Israel,Shas,2001,2003
Israel,SHAS,1984,2008
Israel,SNUI,1984,2004
Israel,TAMI,1982,1984
Israel,THYA,1983,1992
Israel,TW,1996,1999
Israel,TZOM,1991,1991
Israel,URF,1948,1952
Israel,UTJ,1996,2002
Israel,YB,1996,2003
Israel,YIUD,1995,1996
Italy,AN,1994,2008
Italy,AP,1945,1946
Italy,CCD-CDU,2001,2005
Italy,Daisy,2006,2008
Italy,DC,1945,1994
Italy,DCpA,2008,2008
Italy,DEM,2000,2001
Italy,Des,1919,1919
Italy,DS,2000,2008
Italy,FI,1994,2008
Italy,Greens,1996,2008
Italy,IdV,2006,2008
Italy,IND,1998,2008
Italy,LN,1994,2008
Italy,LVERDE,1993,1993
Italy,Mil,1943,1944
Italy,Non-party,1944,1996
Italy,Non-Party,1993,2001
Italy,OT,2006,2008
Italy,PCDI,2000,2001
Italy,PCI,1945,1947
Italy,PDCI,1998,2000
Italy,PDL,1945,1946
Italy,PDS,1993,1998
Italy,PDS-DS,1998,1999
Italy,PL,1920,1922
Italy,PLI,1945,1994
Italy,PNF,1922,1943
Italy,PPI,1996,2001
Italy,PRI,1947,2006
Italy,PSDI,1948,1993
Italy,PSI,1945,2006
Italy,PSI+PSU,1970,1972
Italy,PSIU,1947,1947
Italy,PSRI,1921,1922
Italy,Rad,1919,1920
Italy,RC,2006,2008
Italy,RI,1996,2001
Italy,Rose,2006,2008
Italy,SDI,1998,2001
Italy,UD,1996,1998
Italy,UDC,2006,2006
Italy,UDEUR,2000,2008
Italy,UDR,1998,1999
Ivory Coast,FPI,2000,2008
Ivory Coast,Mil,1999,2000
Ivory Coast,PDCI,1960,1999
Jamaica,JLP,1962,2008
Jamaica,PNP,1972,2007
Japan,CD,1929,1931
Japan,Con,1924,1927
Japan,DP,1954,1954
Japan,DSP,1993,1994
Japan,FC,1919,1932
Japan,IRAA,1940,1941
Japan,JD,1955,1955
Japan,JNP,1993,1994
Japan,KAIS,1994,1994
Japan,KOME,1993,1994
Japan,Komei,2004,2008
Japan,Komeito,2000,2003
Japan,LDP,1956,2008
Japan,LP,1952,2000
Japan,Mil,1922,1945
Japan,NCP,2000,2003
Japan,NLC,1984,1986
Japan,non-party,1921,1931
Japan,Non-party,1923,1939
Japan,SAKI,1993,1996
Japan,SDP,1993,1994
Japan,SDPJ,1994,1996
Japan,SHAM,1993,1994
Japan,SHIN,1993,1994
Jordan,Hashemite Dynasty,1946,2008
Kazakhstan,Non-party,1991,1995
Kazakhstan,Nur-Otan,2006,2008
Kazakhstan,OTAN,2000,2005
Kazakhstan,PUKU,1996,1999
Kenya,DP,2002,2007
Kenya,KANU,1963,2002
Kenya,NRC,2002,2007
Kenya,PNU,2008,2008
Kosovo,PDK,2008,2008
Kuwait,Al-Sabah Dynasty,1961,2008
Kuwait,Iraq,1990,1991
Kyrgyzstan,AZ,2008,2008
Kyrgyzstan,KEK,2005,2007
Kyrgyzstan,Non-party,1991,2007
Laos,CDNI,1959,1960
Laos,LPF,1958,1958
Laos,Mil,1959,1960
Laos,NLPK,1960,1975
Laos,Non-party,1960,1962
Laos,NPP,1953,1958
Laos,PPPL,1975,2008
Laos,RLP,1958,1959
Laos,Unknown,1964,1964
Latvia,ALSMSP-LS,1926,1928
Latvia,DC,1924,1928
Latvia,DPS,1995,1998
Latvia,JL,2000,2006
Latvia,JP,1998,1999
Latvia,JSP,1933,1934
Latvia,LC,1993,2002
Latvia,LKDS,1997,1998
Latvia,LLP,2002,2004
Latvia,LNNK-ZP,1995,1997
Latvia,LPP,2004,2006
Latvia,LPP-LC,2007,2008
Latvia,LTF,1991,1993
Latvia,LV,1995,1997
Latvia,LZP,1919,1919
Latvia,LZS,1919,1998
Latvia,LZS-LKDS-LLDP,1995,1997
Latvia,Non-party,1919,1997
Latvia,PA,1931,1933
Latvia,SD,1999,1999
Latvia,TB,1995,1997
Latvia,TB-LNNK,1997,2008
Latvia,TP,2000,2008
Latvia,TPA,1994,1995
Latvia,ZZS,2002,2008
Lebanon,DP,1946,1952
