dataset_party_id,partyfacts_id
PNG-cdp,7628
PNG-independent,5010
PNG-lna,8874
PNG-map,5714
PNG-mlp,7630
PNG-nap,5259
PNG-np,5260
PNG-odp,7631
PNG-pppnup,5195
PNG-pngp,7633
PNG-pap,5715
PNG-pdm,5257
PNG-plp,7634
PNG-pnp,5716
PNG-pp,6307
PNG-ppp,5256
PNG-sdp,7636
PNG-the,6082
PNG-up,5196
PNG-urp,6306
PRY-anrpc,384
PRY-independent,2875
PRY-pdc,6054
PRY-pdp,7639
PRY-pen,571
PRY-plra,1245
PRY-pps,314
PRY-ppq,220
PRY-prf,5165
PER-ap,514
PER-aprapap,529
PER-nm,4219
PER-fim,4215
PER-independent,2879
PER-is,8066
PER-iu,4860
PER-ppc,4752
PER-php,7158
PER-pnp,345
PER-ppk,6647
PER-pp,4861
PER-sn,290
PER-upp,575
PHL-an,7028
PHL-independent,2884
PHL-kampi,2465
PHL-kbl,4248
PHL-kmb,2466
PHL-ldp,4252
PHL-lakascmd,2388
PHL-pdplaban,4602
PHL-plp,2330
PHL-pnp,2389
PHL-pdr,4249
PHL-pmp,3654
PHL-una,5171
POL-aws,863
POL-bbwr,1681
POL-independent,2888
POL-kld,153
POL-lpr,1768
POL-po,1117
POL-pzpr,1286
POL-psl,602
POL-ppg,1535
POL-pl,1266
POL-pc,1649
POL-pis,1565
POL-srp,727
POL-sdpl,1328
POL-sld,57
POL-sldup,6183
POL-sp,328
POL-s,767
POL-sd,919
POL-skl,8766
POL-ud,1046
POL-up,1104
POL-uwpd,1566
POL-zchn,70
POL-zsl,929
PRT-cds pp,1308
PRT-independent,2891
PRT-pcp,310
PRT-ppdpsd,1359
PRT-ppm,1480
PRT-ps,655
PRT-un,4753
QAT-independent,8598
ROU-alde,5662
ROU-nsf,958
ROU-fsn,958
ROU-independent,2894
ROU-pcr,5773
ROU-pc,6769
ROU-pd,1715
ROU-pdar,1085
ROU-pdl,660
ROU-per,1373
ROU-pnl,481
ROU-pntcd,1750
ROU-psd,120
ROU-psdr,1034
ROU-punr,1451
ROU-udmrrmds,1105
ROU-unpr,1541
RUS-obp,2240
RUS-apr,2235
SUN-cpsu,4784
RUS-dpr,2238
RUS-dvr,2253
RUS-er,2256
RUS-independent,2897
RUS-ldpr,2245
RUS-ndr,2247
RUS-onf,4003
RUS-ovr,2240
RUS-pres,2249
RUS-kedr,5822
RUS-sps,2255
RUS-y,2242
RWA-fpr,3283
RWA-independent,3292
RWA-mrndd,6055
RWA-pdc,5701
