country,id,accronym,party_name,party_name_english
Slovakia,9601,SMER-SD,Smer - sociálna demokracia,Social Democratic Party
Slovakia,9602,SDKÚ-DS,Slovenská demokratická a kresťanská únia – Demokratická strana,Slovak Democratic and Christian Union – Democratic Party
Slovakia,9603,KDH,Kresťanskodemokratické hnutie,Christian Democratic Movement
Slovakia,9604,SaS,Sloboda a Solidarita,Freedom and Solidarity
Slovakia,9605,SNS,Slovenská národná strana,Slovak National Party
Slovakia,9606,Most-Híd,Most–Híd,Bridge
Slovakia,9607,SMK-MKP,Strana maďarskej koalície/ Magyar Koalíció Pártja,Party of the Hungarian Coalition
Spain,3301,PSOE,Partido Socialista Obrero Español,The Socialist Party
Spain,3302,PSOE(CA),Partido Socialista Obrero Español al nível de las comunidades autónomas,The Socialist Party at the level of the autonomous communities
Spain,3303,PP,Partido Popular,The People’s Party
Spain,3304,PP(CA),Partido Popular al nível de las comunidades autónomas,The People’s Party at the level of the autonomous communities
Spain,3305,UPyD,Unión Progreso y Democracia,Union Progress and Democracy
Spain,3306,CiU,Convergencia i Unió,Convergence and Union
Spain,3307,SI,Solidaritat Catalana per la Independencia,Catalan Solidarity for Independence
Spain,3308,ERC,Esquerra Republicana de Catalunya,Republican Left of Catalonia
Spain,3309,BNG,Bloque Nacionalista Galego,Galician Nationalist Block
Spain,3310,PNV,Partido Nacionalista Vasco/Euzko Alderdi Jeltzalea,Basque Nationalist Party
Spain,3311,Aralar,Aralar,Aralar
Spain,3312,EA,Eusko Alkartasuna,Basque Solidarity
Spain,3313,Bildu,La coalición Bildu,Bildu coalition
Spain,3314,NA-BAI,Nafarroa Bai,Navarra Yes
Spain,3315,UPN,Unión del pueblo Navarra,Navarrese People's Union
Turkey,7401,AKP,Adalet ve Kalkinma Partisi,Justice and Development Party
Turkey,7402,CHP,Cumhuriyet Halk Partisi,Republican People's Party
Turkey,7403,MHP,Milliyetçi Hareket Partisi,National Movement Party
Turkey,7404,BDP,Barış ve Demokrasi Partisi,Peace and Democracy Party
Ukraine,9801,PR,Partia rehioniv,Party of Regions
Ukraine,9802,BJUT,Blok Julii Tymoshenko,Bloc Yulia Tymoshenko
Ukraine,9803,NUNS,Blok Nasha Ukraina - Narodna samooborona,Bloc Our Ukraine - People's Self-Defense
Ukraine,9804,KPU,Komunistychna partia Ukrainy,Communist Party of Ukraine
Ukraine,9805,Rukh,Narodnyi rukh Ukrainy,People's Movement of Ukraine
Ukraine,9806,Soiuz,Soiuz,Union
Ukraine,9807,Russkoe edinstvo,Russkoe edinstvo,Russian Unity
Ukraine,9808,Sylna Ukraina,Sylna Ukraina,Strong Ukraine
United Kingdom,5101,Con,The Conservative Party,The Conservative Party
United Kingdom,5102,Con(region),"The Conservative Party, regional position","The Conservative Party, regional position"
United Kingdom,5103,Lab,The Labour Party,The Labour Party
United Kingdom,5104,Lab(region),"The Labour Party, regional position","The Labour Party, regional position"
United Kingdom,5105,LD,Liberal Democrats,Liberal Democrats
United Kingdom,5106,SNP,Scottish National Party,Scottish National Party
United Kingdom,5107,SGP,Scots Green Pairty,Scottish Green Party
United Kingdom,5108,PC,Plaid Cymru,The Party of Wales
United Kingdom,5109,SF,Sinn Fein,Sinn Fein
United Kingdom,5110,SDLP,Social Democratic & Labour Party,Social Democratic & Labour Party
United Kingdom,5111,DUP,Democratic Unionist Party,Democratic Unionist Party
United Kingdom,5112,UUP,Ulster Unionist Party,Ulster Unionist Party
United Kingdom,5113,Alliance,Alliance Party of Northern Ireland,Alliance Party of Northern Ireland
United Kingdom,5114,TUV,Traditional Unionist Voice,Traditional Unionist Voice
